Andy Isabella,0.0001,ARI
Allen Robinson II,0.0001,Chi
Marquise Goodwin,0.0001,Chi
Damiere Byrd,1.4,CHI
Mike Thomas,0.0001,CIN
Trinity Benson,0.0001,DET
Chris Conley,1.3,HOU
Jordan Akins,0.0001,HOU
Jeff Driskel,0.0001,HOU
Laquon Treadwell,1.25,JAC
Sony Michel,2,LAR
Darrell Henderson Jr.,0.0001,LAR
Zay Jones,1.2,LV
DeSean Jackson,0.8,LV
DeVante Parker,1.5,MIA
Pharoh Cooper,2,NYG
Sterling Shepard,0.0001,NYG
Kadarius Toney,0.0001,NYG
Pharoh Cooper,1.25,NYG
Jauan Jennings,1,SF
Trent Sherfield,1,SF
Tyler Johnson,1.3,TB
Jaelon Darden,0.0001,TB
Terry McLaurin,1.05,WAS
