"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Christian McCaffrey","CAR","NYJ","9500","32.5%","56%","25%","30%","0.93"
"RB","Dalvin Cook","MIN","@CIN","9100","27.5%","55%","23%","28%","1.01"
"RB","Derrick Henry","TEN","ARI","8800","17.5%","37%","11%","13%","0.74"
"RB","Alvin Kamara","NO","GB","8600","17.5%","59%","24%","30%","1.71"
"WR","Davante Adams","GB","@NO","8300","17.5%","67%","30%","28%","1.60"
"TE","Travis Kelce","KC","CLE","8300","17.5%","57%","13%","26%","1.47"
"WR","Tyreek Hill","KC","CLE","8200","22.5%","59%","25%","23%","1.02"
"QB","Patrick Mahomes","KC","CLE","8100","12.5%","57%","26%","8%","0.65"
"RB","Jonathan Taylor","IND","SEA","8000","7.5%","33%","8%","10%","1.30"
"WR","Calvin Ridley","ATL","PHI","7900","12.5%","48%","15%","14%","1.09"
"RB","Saquon Barkley","NYG","DEN","7800","3.0%","30%","6%","8%","2.55"
"WR","DeAndre Hopkins","ARI","@TEN","7800","12.5%","49%","15%","14%","1.08"
"WR","Justin Jefferson","MIN","@CIN","7700","12.5%","46%","13%","12%","0.96"
"WR","Stefon Diggs","BUF","PIT","7600","12.5%","53%","17%","15%","1.22"
"QB","Kyler Murray","ARI","@TEN","7600","7.5%","57%","27%","8%","1.12"
"WR","DK Metcalf","SEA","@IND","7500","7.5%","42%","11%","10%","1.32"
"QB","Josh Allen","BUF","PIT","7400","12.5%","57%","27%","8%","0.67"
"RB","Nick Chubb","CLE","@KC","7200","7.5%","32%","6%","8%","1.04"
"WR","A.J. Brown","TEN","ARI","7100","17.5%","50%","16%","14%","0.82"
"RB","Austin Ekeler","LAC","@WAS","7000","3.0%","30%","4%","5%","1.76"
"WR","Adam Thielen","MIN","@CIN","7000","7.5%","38%","9%","8%","1.07"
"QB","Russell Wilson","SEA","@IND","7000","7.5%","47%","18%","6%","0.75"
"RB","D'Andre Swift","DET","SF","6900","3.0%","30%","5%","6%","1.91"
"WR","Keenan Allen","LAC","@WAS","6900","7.5%","42%","10%","9%","1.25"
"RB","Aaron Jones","GB","@NO","6800","7.5%","35%","6%","8%","1.06"
"WR","Julio Jones","TEN","ARI","6800","12.5%","43%","10%","9%","0.75"
"QB","Aaron Rodgers","GB","@NO","6800","7.5%","48%","18%","5%","0.73"
"QB","Justin Herbert","LAC","@WAS","6700","3.0%","41%","15%","5%","1.53"
"WR","Tyler Lockett","SEA","@IND","6700","7.5%","43%","10%","9%","1.24"
"RB","Clyde Edwards-Helaire","KC","CLE","6600","7.5%","32%","5%","6%","0.82"
"RB","Miles Sanders","PHI","@ATL","6500","3.0%","28%","4%","5%","1.59"
"QB","Ryan Tannehill","TEN","ARI","6500","12.5%","48%","19%","6%","0.48"
"WR","Terry McLaurin","WAS","LAC","6400","7.5%","44%","10%","10%","1.27"
"RB","James Robinson","JAX","@HOU","6400","12.5%","41%","9%","11%","0.87"
"QB","Jalen Hurts","PHI","@ATL","6400","12.5%","49%","20%","6%","0.50"
"WR","Diontae Johnson","PIT","@BUF","6300","3.0%","37%","7%","7%","2.24"
"TE","George Kittle","SF","@DET","6300","12.5%","55%","10%","19%","1.52"
"QB","Kirk Cousins","MIN","@CIN","6300","3.0%","39%","12%","4%","1.22"
"RB","Najee Harris","PIT","@BUF","6300","7.5%","37%","6%","7%","0.95"
"WR","JuJu Smith-Schuster","PIT","@BUF","6200","3.0%","34%","6%","6%","1.93"
"QB","Trevor Lawrence","JAX","@HOU","6200","3.0%","42%","15%","5%","1.57"
"RB","Joe Mixon","CIN","MIN","6200","12.5%","47%","11%","14%","1.09"
"QB","Ben Roethlisberger","PIT","@BUF","6100","0.5%","34%","9%","3%","5.36"
"WR","D.J. Moore","CAR","NYJ","6100","3.0%","39%","8%","8%","2.58"
"RB","Myles Gaskin","MIA","@NE","6000","3.0%","27%","3%","4%","1.28"
"QB","Matt Ryan","ATL","PHI","6000","7.5%","42%","13%","4%","0.55"
"WR","Jarvis Landry","CLE","@KC","6000","7.5%","27%","4%","3%","0.45"
"WR","Deebo Samuel","SF","@DET","5900","3.0%","35%","7%","6%","2.02"
"QB","Baker Mayfield","CLE","@KC","5900","3.0%","39%","12%","4%","1.19"
"RB","Chris Carson","SEA","@IND","5900","7.5%","35%","6%","7%","0.90"
"RB","Antonio Gibson","WAS","LAC","5900","12.5%","38%","7%","8%","0.68"
"WR","D.J. Chark","JAX","@HOU","5800","3.0%","29%","4%","4%","1.34"
"RB","Raheem Mostert","SF","@DET","5800","7.5%","32%","4%","5%","0.69"
"RB","David Johnson","HOU","JAX","5700","0.5%","14%","1%","1%","1.89"
"QB","Joe Burrow","CIN","MIN","5700","3.0%","42%","14%","4%","1.43"
"WR","Brandon Aiyuk","SF","@DET","5700","7.5%","40%","9%","8%","1.11"
"WR","Robby Anderson","CAR","NYJ","5700","7.5%","34%","6%","5%","0.69"
"WR","Kenny Golladay","NYG","DEN","5600","0.5%","27%","3%","3%","6.37"
"QB","Carson Wentz","IND","SEA","5600","3.0%","36%","10%","3%","1.04"
"WR","Chase Claypool","PIT","@BUF","5600","7.5%","34%","6%","6%","0.73"
"WR","DeVante Parker","MIA","@NE","5500","0.5%","27%","4%","3%","6.61"
"QB","Jimmy Garoppolo","SF","@DET","5500","0.5%","38%","10%","3%","6.39"
"QB","Ryan Fitzpatrick","WAS","LAC","5500","3.0%","42%","14%","4%","1.47"
"RB","Kareem Hunt","CLE","@KC","5500","3.0%","27%","3%","4%","1.17"
"WR","Mike Williams","LAC","@WAS","5500","3.0%","26%","3%","3%","1.07"
"QB","Tua Tagovailoa","MIA","@NE","5400","0.5%","37%","11%","3%","6.65"
"RB","Mike Davis","ATL","PHI","5400","7.5%","35%","5%","6%","0.85"
"WR","Odell Beckham","CLE","@KC","5400","7.5%","34%","6%","6%","0.75"
"QB","Tyrod Taylor","HOU","JAX","5300","0.5%","37%","11%","3%","6.78"
"QB","Daniel Jones","NYG","DEN","5300","0.5%","36%","10%","3%","6.26"
"WR","Brandin Cooks","HOU","JAX","5300","3.0%","34%","5%","5%","1.62"
"WR","Russell Gage","ATL","PHI","5300","3.0%","29%","4%","4%","1.31"
"RB","Melvin Gordon","DEN","@NYG","5300","3.0%","22%","2%","2%","0.78"
"QB","Jameis Winston","NO","GB","5200","3.0%","39%","12%","4%","1.19"
"RB","Damien Harris","NE","MIA","5200","3.0%","27%","3%","3%","1.08"
"WR","Tyler Boyd","CIN","MIN","5200","7.5%","37%","7%","6%","0.81"
"WR","Courtland Sutton","DEN","@NYG","5200","7.5%","34%","5%","5%","0.65"
"QB","Jared Goff","DET","SF","5100","0.5%","29%","7%","2%","4.16"
"WR","Sterling Shepard","NYG","DEN","5100","3.0%","33%","5%","5%","1.64"
"WR","Jakobi Meyers","NE","MIA","5100","3.0%","33%","5%","4%","1.46"
"RB","J.D. McKissic","WAS","LAC","5100","0.5%","10%","0%","0%","0.70"
"QB","Zach Wilson","NYJ","@CAR","5000","0.5%","39%","12%","4%","7.29"
"RB","Nyheim Hines","IND","SEA","5000","0.5%","22%","2%","2%","4.10"
"QB","Sam Darnold","CAR","NYJ","5000","3.0%","42%","13%","4%","1.38"
"WR","Laviska Shenault","JAX","@HOU","5000","7.5%","36%","6%","6%","0.75"
"RB","Alexander Mattison","MIN","@CIN","5000","0.5%","6%","0%","0%","0.25"
