"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Chris Carson","SEA","ARI","Sun 04:25 EST","RB","27.8%","8200","RB","15.3%","8500"
"Devonta Freeman","ATL","JAC","Sun 01:00 EST","RB","27.4%","6200","RB","12.2%","6000"
"Julio Jones","ATL","JAC","Sun 01:00 EST","WR","24.3%","8000","WR","22.1%","8000"
"Michael Thomas","NO","TEN","Sun 01:00 EST","WR","22.3%","9000","WR","19.3%","9300"
"Joe Mixon","CIN","MIA","Sun 01:00 EST","RB","20.8%","7800","RB","20.8%","6600"
"Leonard Fournette","JAC","ATL","Sun 01:00 EST","RB","18.4%","7500","RB","11.3%","7200"
"Keenan Allen","LAC","OAK","Sun 04:05 EST","WR","17.1%","6700","WR","16.5%","6300"
"Austin Hooper","ATL","JAC","Sun 01:00 EST","TE","16.1%","6000","TE","18.7%","4400"
"Russell Wilson","SEA","ARI","Sun 04:25 EST","QB","15.8%","8300","QB","17.0%","7000"
"Alvin Kamara","NO","TEN","Sun 01:00 EST","RB","15.1%","7200","RB","13.0%","7500"
"DeAndre Washington","OAK","LAC","Sun 04:05 EST","RB","14.7%","5600","RB","17.3%","4000"
"DeVante Parker","MIA","CIN","Sun 01:00 EST","WR","14.6%","6900","WR","13.2%","6800"
"Melvin Gordon","LAC","OAK","Sun 04:05 EST","RB","14.3%","7000","RB","15.2%","5600"
"Tyler Boyd","CIN","MIA","Sun 01:00 EST","WR","13.8%","6300","WR","13.8%","5800"
"Jacob Hollister","SEA","ARI","Sun 04:25 EST","TE","13.7%","5700","TE","16.0%","4200"
"Zach Ertz","PHI","DAL","Sun 04:25 EST","TE","12.8%","6900","TE","11.8%","6400"
"A.J. Brown","TEN","NO","Sun 01:00 EST","WR","12.7%","7200","WR","12.1%","7000"
"Lamar Jackson","BAL","CLE","Sun 01:00 EST","QB","12.4%","9300","QB","11.5%","8000"
"Christian McCaffrey","CAR","IND","Sun 01:00 EST","RB","10.9%","10800","RB","13.9%","10100"
"Amari Cooper","DAL","PHI","Sun 04:25 EST","WR","10.9%","7700","WR","11.3%","6700"
"Tyler Lockett","SEA","ARI","Sun 04:25 EST","WR","10.8%","7600","WR","9.9%","7600"
"Christian Kirk","ARI","SEA","Sun 04:25 EST","WR","10.4%","5900","WR","9.9%","5600"
