"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Christian McCaffrey","CAR","@IND","10100","17.5%","60%","29%","32%","1.84"
"WR","Michael Thomas","NO","@TEN","9300","32.5%","63%","28%","35%","1.07"
"RB","Chris Carson","SEA","ARI","8500","17.5%","46%","16%","17%","0.97"
"RB","Saquon Barkley","NYG","@WAS","8300","12.5%","45%","14%","15%","1.19"
"QB","Lamar Jackson","BAL","@CLE","8000","17.5%","65%","34%","16%","0.91"
"WR","Julio Jones","ATL","JAX","8000","22.5%","49%","15%","19%","0.85"
"RB","Ezekiel Elliott","DAL","@PHI","7900","12.5%","49%","16%","17%","1.37"
"RB","Derrick Henry","TEN","NO","7700","7.5%","40%","11%","12%","1.56"
"WR","Tyler Lockett","SEA","ARI","7600","17.5%","41%","11%","13%","0.75"
"RB","Alvin Kamara","NO","@TEN","7500","7.5%","41%","9%","10%","1.32"
"RB","Leonard Fournette","JAX","@ATL","7200","7.5%","48%","13%","14%","1.83"
"QB","Russell Wilson","SEA","ARI","7000","17.5%","54%","24%","11%","0.63"
"WR","A.J. Brown","TEN","NO","7000","17.5%","38%","9%","11%","0.62"
"RB","Nick Chubb","CLE","BAL","6900","3.0%","36%","7%","8%","2.52"
"WR","D.J. Moore","CAR","@IND","6900","12.5%","46%","12%","15%","1.18"
"QB","Drew Brees","NO","@TEN","6900","12.5%","40%","12%","5%","0.43"
"RB","Mark Ingram","BAL","@CLE","6800","12.5%","39%","9%","10%","0.78"
"WR","DeVante Parker","MIA","CIN","6800","17.5%","42%","11%","13%","0.76"
"WR","Amari Cooper","DAL","@PHI","6700","12.5%","42%","11%","13%","1.04"
"WR","JuJu Smith-Schuster","PIT","@NYJ","6600","3.0%","24%","3%","4%","1.41"
"RB","Joe Mixon","CIN","@MIA","6600","27.5%","52%","16%","17%","0.62"
"QB","Ryan Tannehill","TEN","NO","6600","12.5%","44%","16%","7%","0.59"
"WR","Kenny Golladay","DET","@DEN","6500","3.0%","36%","7%","9%","2.94"
"RB","James Conner","PIT","@NYJ","6500","3.0%","39%","7%","8%","2.71"
"RB","Miles Sanders","PHI","DAL","6400","7.5%","42%","8%","9%","1.22"
"TE","Zach Ertz","PHI","DAL","6400","17.5%","49%","8%","17%","0.98"
"WR","T.Y. Hilton","IND","CAR","6400","7.5%","33%","6%","7%","0.97"
"QB","Dak Prescott","DAL","@PHI","6400","7.5%","43%","15%","7%","0.91"
"RB","Kenyan Drake","ARI","@SEA","6300","7.5%","42%","8%","9%","1.23"
"WR","D.J. Chark","JAX","@ATL","6300","7.5%","34%","7%","8%","1.09"
"WR","Keenan Allen","LAC","OAK","6300","17.5%","47%","12%","15%","0.87"
"RB","Marlon Mack","IND","CAR","6200","7.5%","39%","8%","8%","1.12"
"WR","Courtland Sutton","DEN","DET","6200","12.5%","42%","10%","12%","0.97"
"WR","Terry McLaurin","WAS","NYG","6200","12.5%","42%","9%","12%","0.94"
"QB","Matt Ryan","ATL","JAX","6200","7.5%","43%","14%","7%","0.89"
"RB","Austin Ekeler","LAC","OAK","6100","7.5%","46%","9%","10%","1.33"
"QB","Kyler Murray","ARI","@SEA","6100","7.5%","45%","16%","8%","1.02"
"WR","Sterling Shepard","NYG","@WAS","6100","7.5%","31%","5%","6%","0.82"
"TE","Darren Waller","OAK","@LAC","6100","12.5%","40%","4%","9%","0.72"
"WR","Zach Pascal","IND","CAR","6100","7.5%","27%","4%","5%","0.64"
"WR","Jarvis Landry","CLE","BAL","6000","7.5%","40%","8%","10%","1.33"
"QB","Ryan Fitzpatrick","MIA","CIN","6000","7.5%","46%","17%","8%","1.06"
"RB","Devonta Freeman","ATL","JAX","6000","12.5%","42%","8%","9%","0.71"
"QB","Daniel Jones","NYG","@WAS","5900","0.5%","33%","9%","4%","8.67"
"QB","Jacoby Brissett","IND","CAR","5900","3.0%","35%","10%","5%","1.60"
"TE","Mark Andrews","BAL","@CLE","5900","7.5%","36%","4%","8%","1.11"
"WR","DK Metcalf","SEA","ARI","5900","12.5%","41%","9%","11%","0.87"
"RB","LeVeon Bell","NYJ","PIT","5800","3.0%","40%","7%","7%","2.48"
