Player,Ownership
Name,pOWN%
DeAndre Washington,43.76%
Michael Thomas,26.58%
Austin Hooper,25.29%
Julio Jones,23.70%
Devonta Freeman,21.83%
DeVante Parker,19.99%
Jacob Hollister,19.64%
Joe Mixon,19.00%
Keenan Allen,18.13%
Melvin Gordon,17.18%
Tyler Boyd,15.87%
Tyler Lockett,15.04%
Ezekiel Elliott,13.85%
Chris Carson,13.14%
Courtland Sutton,12.36%
Adrian Peterson,12.03%
Christian Kirk,11.95%
Marquise Brown,11.85%
Zach Ertz,10.85%
Terry McLaurin,10.41%
D.K. Metcalf,10.41%
Amari Cooper,10.41%
Greg Ward,10.41%
Christian McCaffrey,10.11%
Kenyan Drake,10.11%
Alvin Kamara,9.90%
Phillip Lindsay,9.80%
Saquon Barkley,9.40%
Mike Williams,8.86%
Mike Gesicki,8.36%
Leonard Fournette,8.19%
Darren Waller,8.14%
Darius Slayton,7.93%
Jack Doyle,6.84%
Danny Amendola,6.39%
D.J. Moore,6.39%
Marlon Mack,6.27%
Jalen Richard,6.27%
Curtis Samuel,6.18%
Mark Andrews,6.08%
Miles Sanders,6.06%
John Ross,5.98%
Randall Cobb,5.87%
Derrick Henry,5.86%
Michael Gallup,5.67%
T.Y. Hilton,5.15%
Alex Erickson,5.05%
Mark Ingram,4.75%
Le'Veon Bell,4.75%
Dallas Goedert,4.23%
Larry Fitzgerald,4.22%
Russell Gage,4.22%
A.J. Brown,4.22%
Hunter Henry,4.12%
Steven Sims,3.92%
Patrick Laird,3.84%
DJ Chark,3.81%
Noah Fant,3.69%
Jamison Crowder,3.50%
Diontae Johnson,3.50%
Odell Beckham,3.19%
Jonnu Smith,3.15%
Golden Tate,3.09%
Greg Olsen,3.04%
Austin Ekeler,2.93%
Nick Chubb,2.93%
Robby Anderson,2.88%
Corey Davis,2.78%
Kaden Smith,2.50%
Kenny Golladay,2.47%
Jarvis Landry,2.16%
Tyrell Williams,2.06%
Kelvin Harmon,2.06%
Albert Wilson,2.06%
Kerryon Johnson,2.02%
Royce Freeman,2.02%
James Washington,1.96%
James Conner,1.92%
Allen Hurns,1.34%
Chris Conley,1.34%
Willie Snead,1.34%
Andy Isabella,1.13%
JuJu Smith-Schuster,1.13%
Hunter Renfrow,1.03%
Sterling Shepard,1.03%
Boston Scott,1.01%
Jared Cook,0.98%
Chris Thompson,0.91%
Jesse James,0.76%
Marcus Johnson,0.72%
JJ Arcega-Whiteside,0.72%
Tre'Quan Smith,0.72%
Dede Westbrook,0.72%
Miles Boykin,0.72%
Christian Blake,0.72%
Seth Roberts,0.72%
Myles Gaskin,0.71%
Latavius Murray,0.71%
Jason Witten,0.65%
Zay Jones,0.52%
Chris Lacy,0.52%
Malik Turner,0.52%
Keelan Cole,0.52%
Keelan Doss,0.10%
Josh Malone,0.10%
Braxton Berrios,0.10%
Daniel Brown,0.10%
Trevon Wesco,0.10%
Rico Gafford,0.10%
Justin Jackson,0.10%
Virgil Green,0.10%
Rod Smith,0.10%
Bo Scarbrough,0.10%
Jalen Guyton,0.10%
Andre Patton,0.10%
Nyheim Hines,0.10%
Vyncint Smith,0.10%
Derek Carrier,0.10%
Ty Montgomery,0.10%
Kalif Raymond,0.10%
Anthony Firkser,0.10%
Dion Lewis,0.10%
Tajae Sharpe,0.10%
Khari Blasingame,0.10%
Krishawn Hogan,0.10%
Josh Hill,0.10%
Deonte Harris,0.10%
Cody Hollister,0.10%
Jaylen Samuels,0.10%
Johnny Holton,0.10%
Ty Johnson,0.10%
Kerrith Whyte,0.10%
Deon Cain,0.10%
Nick Vannett,0.10%
Vance McDonald,0.10%
Bilal Powell,0.10%
Logan Thomas,0.10%
Pharoh Cooper,0.10%
Charles Clay,0.10%
Dan Arnold,0.10%
Damiere Byrd,0.10%
Chase Edmonds,0.10%
Jordan Howard,0.10%
David Johnson,0.10%
Maxx Williams,0.10%
C.J. Prosise,0.10%
David Moore,0.10%
Jaron Brown,0.10%
John Ursua,0.10%
Luke Willson,0.10%
Travis Homer,0.10%
Tyrone Swoopes,0.10%
Jay Ajayi,0.10%
Joshua Perkins,0.10%
Fred Brown,0.10%
DaeSean Hamilton,0.10%
Devontae Booker,0.10%
Diontae Spencer,0.10%
Jeff Heuerman,0.10%
Ted Ginn,0.10%
Tim Patrick,0.10%
J.D. McKissic,0.10%
Ventell Bryant,0.10%
Dalton Schultz,0.10%
Robert Davis,0.10%
Blake Jarwin,0.10%
Jamize Olawale,0.10%
Tavon Austin,0.10%
Tony Pollard,0.10%
Travis Fulgham,0.10%
Jason Moore,0.10%
Trayveon Williams,0.10%
Cethan Carter,0.10%
C.J. Uzomah,0.10%
Tyler Eifert,0.10%
Giovani Bernard,0.10%
Cam Sims,0.10%
Scott Simonson,0.10%
Darvin Kidsy,0.10%
Brian Hill,0.10%
Stanley Morgan,0.10%
Hale Hentges,0.10%
Cody Latimer,0.10%
Cody Core,0.10%
Mack Hollins,0.10%
Elijhaa Penny,0.10%
