"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Dalvin Cook","MIN","DET","Sun 01:00 EDT","RB","37.5%","8300","RB","27.4%","8000"
"Evan Engram","NYG","ARI","Sun 01:00 EDT","TE","33.7%","6800","TE","23.8%","6500"
"Tyler Lockett","SEA","BAL","Sun 04:25 EDT","WR","33.7%","6500","WR","16.1%","6600"
"David Johnson","ARI","NYG","Sun 01:00 EDT","RB","28.4%","7400","RB","11.8%","7800"
"Darren Waller","OAK","GB","Sun 01:00 EDT","TE","23.4%","6200","TE","10.5%","4700"
"Saquon Barkley","NYG","ARI","Sun 01:00 EDT","RB","22.0%","8600","RB","18.3%","8900"
"Chris Carson","SEA","BAL","Sun 04:25 EDT","RB","20.8%","7600","RB","21.3%","6500"
"Julio Jones","ATL","LA","Sun 01:00 EDT","WR","18.8%","8200","WR","18.4%","8000"
"T.Y. Hilton","IND","HOU","Sun 01:00 EDT","WR","18.1%","7600","WR","22.4%","5900"
"Cooper Kupp","LA","ATL","Sun 01:00 EDT","WR","17.8%","7800","WR","18.9%","7400"
"Leonard Fournette","JAC","CIN","Sun 01:00 EDT","RB","15.7%","7900","RB","15.2%","7000"
"Russell Wilson","SEA","BAL","Sun 04:25 EDT","QB","15.0%","8500","QB","15.4%","6600"
"Josh Allen","BUF","MIA","Sun 01:00 EDT","QB","13.7%","7700","QB","12.9%","6500"
"DeAndre Hopkins","HOU","IND","Sun 01:00 EDT","WR","13.3%","8000","WR","13.3%","7800"
"John Brown","BUF","MIA","Sun 01:00 EDT","WR","13.0%","5900","WR","13.3%","5500"
"Larry Fitzgerald","ARI","NYG","Sun 01:00 EDT","WR","12.6%","5600","WR","5.6%","6100"
"Jared Goff","LA","ATL","Sun 01:00 EDT","QB","12.2%","7800","QB","12.2%","6200"
"Kerryon Johnson","DET","MIN","Sun 01:00 EDT","RB","11.6%","6800","RB","13.4%","5100"
"Matt Ryan","ATL","LA","Sun 01:00 EDT","QB","11.2%","7900","QB","12.8%","6300"
"Brandin Cooks","LA","ATL","Sun 01:00 EDT","WR","11.1%","6700","WR","13.2%","5400"
"Robert Woods","LA","ATL","Sun 01:00 EDT","WR","11.0%","7300","WR","13.2%","5900"
"Devonta Freeman","ATL","LA","Sun 01:00 EDT","RB","10.7%","6400","RB","10.9%","5400"
"Daniel Jones","NYG","ARI","Sun 01:00 EDT","QB","10.2%","7200","QB","9.6%","6100"
"Lamar Jackson","BAL","SEA","Sun 04:25 EDT","QB","10.1%","8400","QB","10.0%","6800"
"Frank Gore","BUF","MIA","Sun 01:00 EDT","RB","9.9%","6000","RB","9.4%","5200"
"Calvin Ridley","ATL","LA","Sun 01:00 EDT","WR","9.2%","5500","WR","9.2%","5300"
"Devin Singletary","BUF","MIA","Sun 01:00 EDT","RB","8.8%","5800","RB","8.5%","5400"
"Tyler Boyd","CIN","JAC","Sun 01:00 EDT","WR","8.6%","5600","WR","8.6%","5600"
"Joe Mixon","CIN","JAC","Sun 01:00 EDT","RB","8.2%","6100","RB","8.5%","5000"
"Michael Thomas","NO","CHI","Sun 04:25 EDT","WR","8.0%","8100","WR","8.0%","7900"
"Golden Tate","NYG","ARI","Sun 01:00 EDT","WR","7.8%","6100","WR","8.0%","5800"
"Tevin Coleman","SF","WAS","Sun 01:00 EDT","RB","7.0%","6200","RB","6.7%","5600"
"Christian Kirk","ARI","NYG","Sun 01:00 EDT","WR","7.0%","5600","WR","7.6%","5000"
"Keenan Allen","LAC","TEN","Sun 04:05 EDT","WR","7.0%","7500","WR","7.8%","6700"
"Adam Thielen","MIN","DET","Sun 01:00 EDT","WR","6.9%","7100","WR","6.9%","6900"
"Kyler Murray","ARI","NYG","Sun 01:00 EDT","QB","6.8%","7700","QB","6.2%","6700"
"George Kittle","SF","WAS","Sun 01:00 EDT","TE","6.7%","7100","TE","9.5%","6700"
"D.K. Metcalf","SEA","BAL","Sun 04:25 EDT","WR","6.7%","6200","WR","8.5%","4800"
"Marlon Mack","IND","HOU","Sun 01:00 EDT","RB","6.4%","7100","RB","6.5%","6000"
"Marquez Valdes-Scantling","GB","OAK","Sun 01:00 EDT","WR","6.2%","6300","WR","7.3%","5200"
"Matt Breida","SF","WAS","Sun 01:00 EDT","RB","6.1%","5600","RB","5.6%","5300"
"Austin Hooper","ATL","LA","Sun 01:00 EDT","TE","5.9%","6600","TE","9.8%","5300"
"Carlos Hyde","HOU","IND","Sun 01:00 EDT","RB","5.8%","6300","RB","6.3%","4700"
"Deshaun Watson","HOU","IND","Sun 01:00 EDT","QB","5.7%","8300","QB","5.4%","7000"
"Kenny Golladay","DET","MIN","Sun 01:00 EDT","WR","5.6%","7100","WR","6.7%","5800"
"Allen Robinson","CHI","NO","Sun 04:25 EDT","WR","5.5%","7000","WR","6.7%","5500"
"D.J. Chark","JAC","CIN","Sun 01:00 EDT","WR","5.4%","6600","WR","5.9%","6000"
"Todd Gurley","LA","ATL","Sun 01:00 EDT","RB","5.2%","7100","RB","4.9%","6400"
"Mark Ingram","BAL","SEA","Sun 04:25 EDT","RB","5.0%","7500","RB","4.9%","6600"
"Will Fuller","HOU","IND","Sun 01:00 EDT","WR","5.0%","6300","WR","4.9%","6200"
"Mark Andrews","BAL","SEA","Sun 04:25 EDT","TE","5.0%","6700","TE","9.2%","4900"
"Allen Lazard","GB","OAK","Sun 01:00 EDT","WR","4.9%","4500","WR","7.2%","3000"
"Aaron Jones","GB","OAK","Sun 01:00 EDT","RB","4.7%","7600","RB","4.3%","7100"
"Josh Jacobs","OAK","GB","Sun 01:00 EDT","RB","4.6%","6700","RB","5.1%","5000"
"Derrick Henry","TEN","LAC","Sun 04:05 EDT","RB","4.4%","6500","RB","4.2%","5800"
"Mike Williams","LAC","TEN","Sun 04:05 EDT","WR","4.3%","6200","WR","5.6%","4600"
"Ito Smith","ATL","LA","Sun 01:00 EDT","RB","4.3%","5000","RB","4.3%","4500"
"Cole Beasley","BUF","MIA","Sun 01:00 EDT","WR","4.2%","5600","WR","4.9%","4700"
"Dede Westbrook","JAC","CIN","Sun 01:00 EDT","WR","4.2%","5400","WR","4.6%","4900"
"Hunter Henry","LAC","TEN","Sun 04:05 EDT","TE","4.1%","5700","TE","7.9%","4000"
"Terry McLaurin","WAS","SF","Sun 01:00 EDT","WR","4.0%","6400","WR","4.2%","6100"
"Kenyan Drake","MIA","BUF","Sun 01:00 EDT","RB","3.9%","5400","RB","4.5%","4100"
"David Montgomery","CHI","NO","Sun 04:25 EDT","RB","3.7%","5900","RB","3.9%","4800"
"Jimmy Garoppolo","SF","WAS","Sun 01:00 EDT","QB","3.5%","7500","QB","3.5%","6000"
"Mohamed Sanu","ATL","LA","Sun 01:00 EDT","WR","3.5%","5500","WR","4.0%","4600"
"Stefon Diggs","MIN","DET","Sun 01:00 EDT","WR","3.5%","6800","WR","3.6%","6300"
"Dante Pettis","SF","WAS","Sun 01:00 EDT","WR","3.4%","5100","WR","4.1%","4100"
"Auden Tate","CIN","JAC","Sun 01:00 EDT","WR","3.3%","5900","WR","4.5%","4500"
"Marvin Jones","DET","MIN","Sun 01:00 EDT","WR","3.3%","5600","WR","3.5%","5000"
"Jamaal Williams","GB","OAK","Sun 01:00 EDT","RB","3.2%","5400","RB","3.0%","4900"
"Aaron Rodgers","GB","OAK","Sun 01:00 EDT","QB","3.2%","7600","QB","3.1%","6400"
"Latavius Murray","NO","CHI","Sun 04:25 EDT","RB","3.2%","5300","RB","2.8%","5100"
"Adrian Peterson","WAS","SF","Sun 01:00 EDT","RB","3.0%","5700","RB","3.4%","4100"
"Jake Kumerow","GB","OAK","Sun 01:00 EDT","WR","2.9%","4500","WR","3.6%","3600"
"Marquise Goodwin","SF","WAS","Sun 01:00 EDT","WR","2.8%","5000","WR","2.8%","4800"
"Darius Slayton","NYG","ARI","Sun 01:00 EDT","WR","2.8%","5400","WR","3.4%","4100"
"Nyheim Hines","IND","HOU","Sun 01:00 EDT","RB","2.7%","4800","RB","2.9%","4400"
"Willie Snead","BAL","SEA","Sun 04:25 EDT","WR","2.7%","4600","WR","2.9%","4200"
"Keke Coutee","HOU","IND","Sun 01:00 EDT","WR","2.6%","4900","WR","3.5%","3600"
"Preston Williams","MIA","BUF","Sun 01:00 EDT","WR","2.6%","5100","WR","3.4%","3900"
"Jacoby Brissett","IND","HOU","Sun 01:00 EDT","QB","2.5%","7300","QB","2.6%","5600"
"Chase Edmonds","ARI","NYG","Sun 01:00 EDT","RB","2.4%","5500","RB","2.6%","4700"
"Duke Williams","BUF","MIA","Sun 01:00 EDT","WR","2.4%","4700","WR","2.6%","4100"
"Jimmy Graham","GB","OAK","Sun 01:00 EDT","TE","2.3%","5800","TE","4.3%","4200"
"Austin Ekeler","LAC","TEN","Sun 04:05 EDT","RB","2.2%","6900","RB","2.3%","6200"
"Melvin Gordon","LAC","TEN","Sun 04:05 EDT","RB","2.2%","6600","RB","2.1%","5900"
"Tarik Cohen","CHI","NO","Sun 04:25 EDT","RB","2.0%","5500","RB","2.3%","4600"
"DeVante Parker","MIA","BUF","Sun 01:00 EDT","WR","2.0%","5400","WR","2.8%","3800"
"Ted Ginn","NO","CHI","Sun 04:25 EDT","WR","1.9%","5300","WR","2.8%","3600"
"Taylor Gabriel","CHI","NO","Sun 04:25 EDT","WR","1.9%","4800","WR","2.3%","3900"
"Corey Davis","TEN","LAC","Sun 04:05 EDT","WR","1.8%","5000","WR","2.2%","4000"
"Jaron Brown","SEA","BAL","Sun 04:25 EDT","WR","1.8%","5100","WR","2.4%","3700"
