"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"WR","Kendrick Bourne","SF","@WAS","3000","0.5%","21%","1%","1%","2.64"
"TE","Hayden Hurst","BAL","@SEA","3000","0.5%","18%","1%","1%","1.57"
"WR","Seth Roberts","BAL","@SEA","3000","0.5%","13%","0%","0%","0.79"
"WR","Trent Sherfield","ARI","@NYG","3000","0.5%","7%","0%","0%","0.15"
"WR","Olabisi Johnson","MIN","@DET","3000","0.5%","7%","0%","0%","0.12"
"RB","J.D. McKissic","DET","MIN","3000","0.5%","8%","0%","0%","0.10"
"WR","Keelan Doss","OAK","@GB","3000","0.5%","6%","0%","0%","0.09"
"RB","Dwayne Washington","NO","@CHI","3000","0.5%","7%","0%","0%","0.07"
"WR","Austin Carr","NO","@CHI","3000","0.5%","6%","0%","0%","0.07"
"WR","Kelvin Harmon","WAS","SF","3000","0.5%","5%","0%","0%","0.05"
"WR","Damion Willis","CIN","JAX","3000","0.5%","2%","0%","0%","0.01"
"WR","Justin Hardy","ATL","LAR","3000","0.5%","2%","0%","0%","0.00"
"WR","Andre Roberts","BUF","MIA","3000","0.5%","1%","0%","0%","0.00"
"RB","Derek Watt","LAC","@TEN","3000","0.5%","2%","0%","0%","0.00"
"RB","Nick Bellore","SEA","BAL","3000","0.5%","1%","0%","0%","0.00"
"RB","Zach Line","NO","@CHI","3000","0.5%","1%","0%","0%","0.00"
"DEF","New Orleans Saints","NO","@CHI","2900","7.5%","21%","2%","2%","0.32"
"TE","Tyler Higbee","LAR","@ATL","2900","0.5%","26%","1%","2%","3.90"
"TE","Kyle Rudolph","MIN","@DET","2900","0.5%","23%","1%","2%","3.18"
"TE","Nick Boyle","BAL","@SEA","2900","0.5%","16%","0%","1%","1.22"
"TE","Jacob Hollister","SEA","BAL","2900","0.5%","14%","0%","0%","0.88"
"DEF","Seattle Seahawks","SEA","BAL","2800","3.0%","17%","1%","1%","0.38"
"TE","Josh Oliver","JAX","@CIN","2800","0.5%","15%","0%","0%","0.88"
"TE","Jonnu Smith","TEN","LAC","2800","0.5%","13%","0%","0%","0.59"
"DEF","Los Angeles Rams","LAR","@ATL","2700","0.5%","17%","1%","1%","2.41"
"TE","Foster Moreau","OAK","@GB","2700","0.5%","27%","2%","2%","4.68"
"TE","Marcedes Lewis","GB","OAK","2700","0.5%","15%","0%","0%","0.84"
"TE","Maxx Williams","ARI","@NYG","2700","0.5%","12%","0%","0%","0.50"
"TE","Jesse James","DET","MIN","2700","0.5%","6%","0%","0%","0.08"
"TE","Josh Hill","NO","@CHI","2600","0.5%","22%","1%","1%","2.27"
"TE","Mike Gesicki","MIA","@BUF","2600","0.5%","20%","1%","1%","1.79"
"TE","Jeremy Sprinkle","WAS","SF","2600","0.5%","20%","1%","1%","1.78"
"TE","C.J. Uzomah","CIN","JAX","2600","0.5%","13%","0%","0%","0.66"
"TE","Irv Smith Jr.","MIN","@DET","2600","0.5%","12%","0%","0%","0.53"
"TE","Adam Shaheen","CHI","NO","2600","0.5%","10%","0%","0%","0.32"
"TE","Charles Clay","ARI","@NYG","2600","0.5%","5%","0%","0%","0.05"
"TE","Jerome Cunningham","WAS","SF","2600","0.5%","4%","0%","0%","0.02"
"DEF","New York Giants","NYG","ARI","2500","3.0%","24%","2%","2%","0.81"
"TE","Seth DeValve","JAX","@CIN","2500","0.5%","12%","0%","0%","0.47"
"TE","Mo Alie-Cox","IND","HOU","2500","0.5%","10%","0%","0%","0.31"
"TE","Nick O'Leary","MIA","@BUF","2500","0.5%","6%","0%","0%","0.08"
"TE","Logan Thomas","DET","MIN","2500","0.5%","6%","0%","0%","0.08"
"TE","Tommy Sweeney","BUF","MIA","2500","0.5%","6%","0%","0%","0.06"
"TE","Drew Sample","CIN","JAX","2500","0.5%","4%","0%","0%","0.03"
"TE","Lee Smith","BUF","MIA","2500","0.5%","4%","0%","0%","0.03"
"TE","Ben Braunecker","CHI","NO","2500","0.5%","4%","0%","0%","0.03"
"TE","Ross Dwelley","SF","@WAS","2500","0.5%","4%","0%","0%","0.02"
"DEF","Arizona Cardinals","ARI","@NYG","2400","3.0%","26%","3%","3%","0.94"
"DEF","Detroit Lions","DET","MIN","2300","3.0%","26%","3%","3%","0.89"
"DEF","Atlanta Falcons","ATL","LAR","2300","0.5%","22%","2%","2%","3.09"
"DEF","Baltimore Ravens","BAL","@SEA","2200","3.0%","23%","2%","2%","0.54"
"DEF","Cincinnati Bengals","CIN","JAX","2100","0.5%","29%","3%","3%","5.50"
"DEF","Indianapolis Colts","IND","HOU","2000","7.5%","34%","4%","4%","0.57"
"DEF","Oakland Raiders","OAK","@GB","1900","0.5%","21%","1%","1%","1.61"
"DEF","Washington Redskins","WAS","SF","1700","3.0%","34%","3%","3%","1.04"
"DEF","Miami Dolphins","MIA","@BUF","1500","3.0%","30%","2%","2%","0.53"
