Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Patrick Mahomes,KC,IND,1,1,1.0,0.0,24.8
2,Lamar Jackson,BAL,PIT,2,6,2.5,0.9,20.9
3,Deshaun Watson,HOU,ATL,2,4,2.7,0.5,20.3
4,Russell Wilson,SEA,LAR,2,8,4.4,0.8,18.9
5,Carson Wentz,PHI,NYJ,3,8,5.5,0.9,18.6
6,Tom Brady,NE,WAS,4,17,5.9,1.6,18.5
7,Matt Ryan,ATL,HOU,5,11,7.4,1.0,18.2
8,Kyler Murray,ARI,CIN,4,14,9.0,1.7,18.1
9,Dak Prescott,DAL,GB,6,15,9.1,1.6,17.7
10,Aaron Rodgers,GB,DAL,8,16,10.8,1.6,17.5
11,Jameis Winston,TB,NO,5,17,10.8,2.2,17.5
12,Jacoby Brissett,IND,KC,5,17,11.6,2.5,17.2
13,Philip Rivers,LAC,DEN,9,19,13.1,1.5,17.1
14,Jared Goff,LAR,SEA,3,17,13.1,1.4,17.0
15,Andy Dalton,CIN,ARI,7,18,15.1,2.0,16.6
16,Jimmy Garoppolo,SF,CLE,7,19,15.7,1.3,14.4
17,Baker Mayfield,CLE,SF,14,25,17.1,1.5,14.3
18,Kirk Cousins,MIN,NYG,12,21,17.2,1.6,14.2
19,Daniel Jones,NYG,MIN,18,23,20.3,1.4,14.2
20,Josh Allen,BUF,TEN,13,25,19.8,2.1,13.5
21,Chase Daniel,CHI,OAK,19,24,21.4,1.2,13.5
22,Kyle Allen,CAR,JAC,19,27,22.1,1.5,13.4
23,Gardner Minshew,JAC,CAR,18,27,22.4,2.0,13.1
24,Teddy Bridgewater,NO,TB,22,27,24.0,1.3,13.0
25,Mason Rudolph,PIT,BAL,22,27,25.5,1.1,12.4
26,Marcus Mariota,TEN,BUF,18,29,25.3,1.9,11.1
27,Joe Flacco,DEN,LAC,15,28,25.4,1.9,12.3
28,Derek Carr,OAK,CHI,24,29,28.0,0.4,10.1
29,Luke Falk,NYJ,PHI,27,30,29.2,0.5,6.9
30,Colt McCoy,WAS,NE,28,31,29.9,0.6,6.4
31,Taysom Hill,NO,TB,30,32,31.2,0.4,6.3
32,Dwayne Haskins,WAS,NE,31,36,32.4,1.1,4.9
33,Matt Barkley,BUF,TEN,29,41,32.8,2.9,4.5
34,Case Keenum,WAS,NE,33,34,33.6,0.5,4.4
35,Mike Glennon,OAK,CHI,35,45,37.5,4.3,1.1
36,Blake Bortles,LAR,SEA,36,37,36.7,0.5,1.0
37,Tyrod Taylor,LAC,DEN,34,41,37.5,3.5,1.0
38,Robert Griffin,BAL,PIT,35,42,38.5,3.5,1.0
39,Ryan Tannehill,TEN,BUF,36,43,39.5,3.5,0.9
40,Brett Hundley,ARI,CIN,39,45,42.0,3.0,0.8
41,Ryan Griffin,TB,NO,44,44,44.0,0.0,0.6
42,Joshua Dobbs,JAC,CAR,42,50,46.0,4.0,0.4
43,Sean Mannion,MIN,NYG,46,48,47.0,1.0,0.3
44,Nick Mullens,SF,CLE,46,52,49.0,3.0,0.2
