Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Travis Kelce,KC,IND,1,1,1.0,0.0,19.1
2,George Kittle,SF,CLE,2,5,2.4,0.8,15.5
3,Zach Ertz,PHI,NYJ,2,12,3.3,0.7,14.3
4,Evan Engram,NYG,MIN,2,7,3.7,0.9,14.2
5,Darren Waller,OAK,CHI,2,6,5.0,0.6,13.2
6,Mark Andrews,BAL,PIT,4,8,5.7,0.6,13.1
7,Austin Hooper,ATL,HOU,7,10,7.1,0.3,12.9
8,Greg Olsen,CAR,JAC,6,12,8.6,0.9,11.5
9,Will Dissly,SEA,LAR,8,14,9.4,1.0,11.2
10,Delanie Walker,TEN,BUF,9,18,10.8,2.2,11.1
11,Jimmy Graham,GB,DAL,8,14,11.7,1.2,9.8
12,Tyler Eifert,CIN,ARI,2,15,12.3,2.1,9.2
13,Eric Ebron,IND,KC,9,18,12.8,2.1,9.2
14,Jason Witten,DAL,GB,12,22,14.3,2.0,8.0
15,Jack Doyle,IND,KC,10,24,14.6,1.9,7.3
16,O.J. Howard,TB,NO,10,21,16.3,2.1,7.2
17,Noah Fant,DEN,LAC,14,23,17.2,1.3,6.8
18,Jared Cook,NO,TB,7,24,18.7,2.2,6.3
19,Dawson Knox,BUF,TEN,9,25,17.8,2.9,6.1
20,Trey Burton,CHI,OAK,15,22,19.9,1.2,6.1
21,Gerald Everett,LAR,SEA,20,29,23.1,2.1,5.9
22,Jordan Akins,HOU,ATL,15,28,23.6,2.7,5.9
23,Kyle Rudolph,MIN,NYG,19,30,23.2,2.7,5.9
24,Ricky Seals-Jones,CLE,SF,20,40,25.3,4.0,5.6
25,Dallas Goedert,PHI,NYJ,20,32,24.8,2.7,5.3
26,James O'Shaughnessy,JAC,CAR,22,30,26.3,2.3,4.9
27,C.J. Uzomah,CIN,ARI,18,46,27.9,5.8,4.6
28,Cameron Brate,TB,NO,21,36,28.3,2.3,4.5
29,Hayden Hurst,BAL,PIT,20,35,29.8,2.6,4.4
30,Irv Smith Jr.,MIN,NYG,23,37,31.0,2.6,4.3
31,Blake Jarwin,DAL,GB,28,47,33.1,3.3,4.3
32,Nick Vannett,PIT,BAL,22,54,33.4,5.1,4.3
33,Demetrius Harris,CLE,SF,32,44,36.2,3.7,4.3
34,Jeremy Sprinkle,WAS,NE,24,40,31.4,3.4,4.2
35,Vance McDonald,PIT,BAL,16,40,28.8,6.9,4.2
36,Tyler Higbee,LAR,SEA,27,38,34.2,2.1,4.0
37,Lance Kendricks,LAC,DEN,19,39,33.1,3.8,4.0
38,Geoff Swaim,JAC,CAR,27,40,35.9,3.1,3.9
39,Ryan Griffin,NYJ,PHI,36,56,40.0,5.0,3.9
40,Nick Boyle,BAL,PIT,34,39,37.9,1.5,3.8
41,Darren Fells,HOU,ATL,24,44,39.7,4.5,3.7
42,Marcedes Lewis,GB,DAL,31,49,43.2,4.2,3.7
43,Charles Clay,ARI,CIN,35,49,45.2,2.8,3.5
44,Jeff Heuerman,DEN,LAC,39,48,43.9,3.0,3.3
45,Maxx Williams,ARI,CIN,38,48,45.4,2.1,3.2
46,Foster Moreau,OAK,CHI,39,53,47.8,4.2,3.1
47,Adam Shaheen,CHI,OAK,34,53,48.4,2.8,2.9
48,Josh Hill,NO,TB,41,49,45.1,2.1,2.9
49,Robert Tonyan,GB,DAL,39,52,48.0,2.7,2.9
50,Jonnu Smith,TEN,BUF,44,53,50.6,2.2,2.8
51,Ryan Izzo,NE,WAS,38,59,47.7,8.2,2.8
52,Luke Willson,SEA,LAR,41,60,48.3,6.6,2.8
53,Matt LaCosse,NE,WAS,34,67,52.1,9.1,2.8
54,Tommy Sweeney,BUF,TEN,47,56,52.9,2.6,2.7
55,Drew Sample,CIN,ARI,38,68,54.1,7.6,2.4
56,Rhett Ellison,NYG,MIN,50,58,54.1,2.2,2.4
57,Virgil Green,LAC,DEN,42,58,53.3,4.2,2.4
58,Mo Alie-Cox,IND,KC,49,61,58.6,1.6,2.4
59,Derek Carrier,OAK,CHI,52,62,58.3,2.2,2.2
60,Luke Stocker,ATL,HOU,55,61,58.3,2.0,2.2
61,Deon Yelder,KC,IND,43,64,54.0,7.4,2.0
62,Ian Thomas,CAR,JAC,56,58,57.2,0.7,2.0
63,Blake Bell,KC,IND,58,63,60.8,1.9,1.9
64,Ross Dwelley,SF,CLE,56,57,56.5,0.5,1.9
65,Pharaoh Brown,CLE,SF,60,71,64.0,3.9,1.8
66,Levine Toilolo,SF,CLE,61,63,61.7,0.9,1.7
67,Lee Smith,BUF,TEN,57,65,61.0,4.0,1.4
68,Trevon Wesco,NYJ,PHI,59,66,62.5,3.5,1.4
69,Zach Gentry,PIT,BAL,63,64,63.5,0.5,1.3
70,Stephen Anderson,LAC,DEN,62,70,66.0,3.3,1.3
71,Ben Braunecker,CHI,OAK,64,69,66.5,2.5,1.2
